"ref","des","per","day","inv_ref","br","uname"
"JA/QT/1","","50%","7 to 10","1","JA-ELA","asanka"
"JA/QT/2","","50%","7 to 10","2","JA-ELA","asanka"
"JA/EST/1","","50%","7 to 10","1","JA-ELA","asanka"
"JA/EST/2","","50%","7 to 10","2","JA-ELA","asanka"
"JA/QT/4","","50%","7 to 10","4","JA-ELA","admin"
"JA/EST/3","","50%","7 to 10","3","JA-ELA","asanka"
"JA/INV/1","Perfoma Invoice No.","50%","7 to 10","1","JA-ELA","admin"
"JA/INV/2","Invoice No.","50%","7 to 10","2","JA-ELA","asanka"
"JA/QT/5","Invoice No.","50%","7 to 10","5","JA-ELA","asanka"
"JA/INV/3","Perfoma Invoice No.","50%","7 to 10","3","JA-ELA","asanka"
"JA/INV/4","Perfoma Invoice No.","50%","7 to 10","4","JA-ELA","asanka"
"JA/QT/6","Invoice No.","0","1 Day","6","JA-ELA","asanka"
"JA/QT/7","Invoice No.","0","1 Day","7","JA-ELA","asanka"
"JA/INV/5","Invoice No.","0","1 Day","5","JA-ELA","asanka"
"JA/QT/8","Invoice No.","50%","7 to 10","8","JA-ELA","asanka"
"JA/QT/9","Invoice No.","50%","15 to 20","9","JA-ELA","asanka"
"JA/QT/10","Invoice No.","0","2 to 3","10","JA-ELA","asanka"
"JA/INV/6","Invoice No.","50%","7 to 10","6","JA-ELA","asanka"
"JA/QT/14","Invoice No.","50%","10 to 14","14","JA-ELA","asanka"
"JA/INV/7","Invoice No.","50%","7 to 10","7","JA-ELA","asanka"
"JA/EST/4","Invoice No.","50%","7 to 10","4","JA-ELA","asanka"
"JA/QT/15","Invoice No.","50%","5 to 9","15","JA-ELA","asanka"
"JA/QT/16","Invoice No.","50%","10 to 14","16","JA-ELA","asanka"
"JA/QT/17","Invoice No.","50%","7 to 10","17","JA-ELA","asanka"
"JA/INV/10","Invoice No.","50%","7 to 10","10","JA-ELA","asanka"
"JA/QT/20","Invoice No.","50%","7 to 14","20","JA-ELA","asanka"
"JA/QT/21","Invoice No.","0","5 to 8","21","JA-ELA","asanka"
"JA/QT/22","Invoice No.","Full Amount","2 to 3","22","JA-ELA","asanka"
"JA/QT/23","Invoice No.","0","1 to 2","23","JA-ELA","asanka"
"JA/INV/11","Invoice No.","50%","7 to 10","11","JA-ELA","asanka"
"JA/INV/12","Invoice No.","50%","7 to 10","12","JA-ELA","asanka"
"JA/QT/25","Invoice No.","75%","50 to 70","25","JA-ELA","asanka"
"JA/QT/27","Invoice No.","75%","50 to 70","27","JA-ELA","asanka"
"JA/QT/28","Invoice No.","50%","3 to 4","28","JA-ELA","asanka"
"JA/INV/13","Invoice No.","0","1 to 2 Days","13","JA-ELA","asanka"
"JA/EST/5","Invoice No.","50%","7 to 10","5","JA-ELA","asanka"
