"ref","item","des","wid","len","qty","up","udis","stotal","dis","tot","br","code","uom","no","itcode"
"1","ROLLER DOORS ( Zinc Alum Powder Coated / 0.6mm Panel Thickness with Color Coating )
( 12 Years Shutter Panel Warranty  & 1 Year Mechanism Warranty [ Condition Apply ] )
","","0","0","1","750.00","0","1","0","750.00","JA-ELA","JA/QT/1","Sq Feet","1","1005"
"2","DOOR Reconstruction (Extra Large)
(PVC Beading/ROBIN MDF Sheet/Zinc Alloy 0.35mm  Sheet)
","","0","0","1","30000.00","0","2","0","60000.00","JA-ELA","JA/EST/2","Pcs","1","1181"
"1","ROLLER DOORS ( Zinc Alum Powder Coated / 0.6mm Panel Thickness with Color Coating )
( 12 Years Shutter Panel Warranty  & 1 Year Mechanism Warranty [ Condition Apply ] )
","","0","0","1","750.00","0","1","0","750.00","JA-ELA","JA/INV/1","Sq Feet","1","1005"
"2","LORRY BODY 6.25 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","","0","0","1","185000.00","0","1","0","185000.00","JA-ELA","JA/INV/2","Pcs","1","1114"
"5","REPAIR Works
(Rear Side small Repair/ metal Lock )
","","0","0","1","5000.00","0","1","0","5000.00","JA-ELA","JA/QT/7","Pcs","1","1041"
"14","LANKA BED Mahindra Maxximo  (1.2mm Zincoted)
","","0","0","1","63000.00","0","1","0","63000.00","JA-ELA","JA/QT/14","Pcs","1","1145"
"7","REPAIR Works
(Mud Guard )
","","0","0","1","2000.00","0","1","0","2000.00","JA-ELA","JA/INV/7","Pcs","1","1041"
"3","Aluminium Works 1.2mm (18G)
","","0","0","1","5800.00","0","2","0","11600.00","JA-ELA","JA/EST/3","Pcs","1","1102"
"4","DOOR Reconstruction (Shutter Board)
(PVC Beading/MACBOOK Shutter  Board/Zinc Alloy 0.35mm  Sheet)
","","0","0","1","30000.00","0","1","0","30000.00","JA-ELA","JA/EST/4","Pcs","1","1182"
"15","Container 1 Side 20 x 8 Feet Area Heat Proofing Job
(Kempas Wood Frames / 2 Inch Hydensity Rigifoam Laying / 15mm Water Proof Shuter Board Layin and Fiberglass Finish )


","","0","0","1","274000.00","0","1","0","274000.00","JA-ELA","JA/QT/15","Pcs","1","1040"
"16","LANKA BED Mahindra Maxximo  (1.2mm Zincoted)
","","0","0","1","63000.00","0","1","0","63000.00","JA-ELA","JA/QT/16","Pcs","1","1145"
"17","+ Lorry Bed Installation
","","0","0","1","2000.00","0","1","0","2000.00","JA-ELA","JA/QT/17","Pcs","2","1068"
"10","Extension Lorry Body 14.5 to 16.5 Feet
","","0","0","1","95000.00","0","1","0","95000.00","JA-ELA","JA/INV/10","Pcs","1","1047"
"20","LORRY BODY 6.25 feet Japan Model White Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)
","","0","0","1","130000.00","0","1","0","130000.00","JA-ELA","JA/QT/20","Pcs","1","1115"
"21","DOOR Reconstruction (Extra Large)
(PVC Beading/ROBIN MDF Sheet/Zinc Alloy 0.35mm  Sheet)
","","0","0","1","22500.00","0","2","0","45000.00","JA-ELA","JA/QT/21","Pcs","1","1181"
"22","Discount

","","0","0","1","-5000.00","0","1","0","-5000.00","JA-ELA","JA/QT/22","","2","1003"
"12","REPAIR Works (20 Feet Roof)

","","0","0","1","15000.00","0","1","0","15000.00","JA-ELA","JA/INV/12","Pcs","1","1041"
"28","DOOR Reconstruction (Small)
(PVC Beading/ROBIN MDF Sheet/Zinc Alloy 0.35mm Sheet)

","","0","0","1","16000.00","0","1","0","16000.00","JA-ELA","JA/QT/28","Pcs","1","1179"
"14","LANKA BED TATA 207  (2mm MS Plate)
","","0","0","1","97000.00","0","1","0","97000.00","JA-ELA","JA/INV/14","Pcs","1","1152"
"15","REPAIR Works
(Door Pin )
","","0","0","1","6500.00","0","1","0","6500.00","JA-ELA","JA/QT/31","Pcs","1","1041"
"35","LORRY BODY 10.5 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.2mm Aluminium/9mm Plywood/2mm Metal Plate/1x1 1.4mmBox Bar/2X2 2mm Box Bar)
","","0","0","1","295000.00","0","1","0","295000.00","JA-ELA","JA/QT/35","Pcs","1","1130"
"36","DOOR Reconstruction (Shutter Board)
(PVC Beading/MACBOOK Shutter Board/Zinc Alloy 0.35mm  Sheet)
","","0","0","1","30000.00","0","2","0","60000.00","JA-ELA","JA/QT/36","Pcs","1","1182"
"38","Aluminium Works 1.2mm (18G)
(One Side Non Rivet Sheet Replace)","","0","0","1","25000.00","0","1","0","25000.00","JA-ELA","JA/QT/38","Pcs","1","1102"
"16","Aluminium Works 1.2mm (18G)
(One Side Non Rivet Sheet Replace)
","","0","0","1","25000.00","0","1","0","25000.00","JA-ELA","JA/INV/16","Pcs","1","1102"
"40","LANKA BED Mahindra Maxximo   (1.5mm Zincoted)
(8 Feet)
","","0","0","1","80000.00","0","1","0","80000.00","JA-ELA","JA/QT/40","Pcs","1","1149"
"41","LANKA BED Mahindra Maxximo   (1.5mm Zincoted)
","","0","0","1","75000.00","0","1","0","75000.00","JA-ELA","JA/QT/41","Pcs","1","1149"
"42","Designed Works 
","","0","0","1","515000.00","0","1","0","515000.00","JA-ELA","JA/QT/42","Pcs","1","1040"
"32","REPAIR Works
(Rear 2 Doors Repair/ new Beiding 
","","0","0","1","35000.00","0","1","0","35000.00","JA-ELA","JA/QT/32","Pcs","1","1041"
"32","Discount

","","0","0","1","-4000.00","0","1","0","-4000.00","JA-ELA","JA/QT/32","","2","1003"
"18","
LORRY BODY 22 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.5mm Aluminium/9mm Plywood/2x2 1.6mm Box Bar)
Warranty:
Body Structure and Waterproofing Warranty for 05 Years. /Doors Warranty for 03 Years. /Door Beading for 01 Year. /Front & Rear Side Paint Warranty For 1 Year.
(Condition Apply)	
","","0","0","1","650000.00","0","1","0","650000.00","JA-ELA","JA/INV/18","Pcs","1","1040"
"22","LANKA BED TATA Batta   (1.2mm Zincoted)
","","0","0","1","63000.00","0","1","0","63000.00","JA-ELA","JA/QT/47","Pcs","1","1144"
"48","LANKA BED Mahindra Maxximo  (1.2mm Zincoted)
","","0","0","1","65000.00","0","1","0","65000.00","JA-ELA","JA/QT/48","Pcs","1","1145"
"7","Set Bar Corner (10 feet)","","0","0","1","3000.00","0","10","0","30000.00","JA-ELA","JA/EST/7","Pcs","1","1080"
"22","DOOR Reconstruction (Extra Large)
(PVC Beading/ROBIN MDF Sheet/Zinc Alloy 0.35mm  Sheet)
","","0","0","1","30000.00","0","2","0","60000.00","JA-ELA","JA/INV/22","Pcs","1","1181"
"22","Body Sealant (wurth)
","","0","0","1","2950.00","0","1","0","2950.00","JA-ELA","JA/INV/22","Pcs","2","1059"
"22","Paint Works

","","0","0","1","8000.00","0","1","0","8000.00","JA-ELA","JA/INV/22","Pcs","3","1042"
"22","Labour Charges

","","0","0","1","7500.00","0","1","0","7500.00","JA-ELA","JA/INV/22","","4","1045"
"52","Door Hinges
","","0","0","1","3500.00","0","3","0","10500.00","JA-ELA","JA/QT/52","Pcs","1","1056"
"52","Silicone Works for 1 feet (Roof)
","","0","0","1","1200.00","0","14.5","0","17400.00","JA-ELA","JA/QT/52","Pcs","2","1109"
"52","Discount

","","0","0","1","-2400.00","0","1","0","-2400.00","JA-ELA","JA/QT/52","","3","1003"
"52","Body Light (Taiwan)
","","0","0","1","1000.00","0","2","0","2000.00","JA-ELA","JA/QT/52","Pcs","4","1077"
"52","T Lock

","","0","0","1","1500.00","0","2","0","3000.00","JA-ELA","JA/QT/52","Pcs","5","1040"
"52","Side Guard (Large)
","","0","0","1","9500.00","0","1","0","9500.00","JA-ELA","JA/QT/52","Pcs","6","1097"
"52","Rear Gutter 
","","0","0","1","4500.00","0","1","0","4500.00","JA-ELA","JA/QT/52","Pcs","7","1086"
"52","Mud Flap","","0","0","1","1500.00","0","1","0","1500.00","JA-ELA","JA/QT/52","Pcs","8","1040"
"23","REPAIR Works


","","0","0","1","18000.00","0","1","0","18000.00","JA-ELA","JA/QT/52","Pcs","9","1041"
