"ref","itcode","itname","uom","cat","cost","sale"
"41","1040","Designed Works 
","Pcs","Labour","1500.00","1500.00"
"42","1041","REPAIR Works
","Pcs","Labour","1500.00","1500.00"
"43","1042","Paint Works
","Pcs","Labour","1500.00","1500.00"
"4","1003","Discount
","","Discount","-30000.00","-30000.00"
"44","1043","Sticker Branding 
","Pcs","Service","1500.00","1500.00"
"46","1045","Labour Charges
","","Labour","1500.00","1500.00"
"47","1046","Extension Lorry Body 7 to 10 Feet","Pcs","Service","49000.00","49000.00"
"49","1048","Extension Chassis ","Pcs","Service","9500.00","9500.00"
"50","1049","Door Lock Set (Taiwan)","Pcs","ITEM","5000.00","15000.00"
"52","1051","Door Lock Set (Lanka)","Pcs","ITEM","5000.00","16500.00"
"55","1054","Door Beading (18mm)","Pcs","ITEM","115.00","350.00"
"56","1055","Door Beading (24mm)","Pcs","ITEM","135.00","375.00"
"58","1057","Freezer Unit ","Pcs","ITEM","65000.00","95000.00"
"59","1058","Silicone Glue","Pcs","ITEM","560.00","750.00"
"60","1059","Body Sealant (wurth)","Pcs","ITEM","1950.00","2950.00"
"63","1062","Japan Rivet ","Pcs","ITEM","10.00","50.00"
"64","1063","A/B GLUE","Pcs","ITEM","1950.00","4950.00"
"70","1069","+ Lorry Body Installation  ","Pcs","Service","10000.00","35000.00"
"71","1070","+ Corner Cap (Lanka)","Pcs","ITEM","1000.00","3500.00"
"74","1073","+ McFoil Heat Resistant","Pcs","ITEM","3000.00","6000.00"
"75","1074","+ VHB Tape","Pcs","ITEM","6500.00","13500.00"
"83","1082","Set Bar Boarder","Pcs","ITEM","1000.00","3500.00"
"84","1083","Door Frame Rear","Pcs","Service","10000.00","20000.00"
"88","1087","Side Gutter","Pcs","ITEM","500.00","2000.00"
"89","1088","Mud Guard Set (Small)","Pcs","ITEM","2500.00","5500.00"
"90","1089","Mud Guard Set (Large)","Pcs","ITEM","5000.00","10000.00"
"34","1033","Electric Gate Lock with Remote","Pcs","Roller Gate","7500.00","12500.00"
"93","1092","Foot Board (Large)","Pcs","ITEM","3500.00","7500.00"
"94","1093","Foot Board (Extra Large)","Pcs","ITEM","4500.00","10000.00"
"95","1094","Light Guard  (Small)","Pcs","ITEM","4500.00","8500.00"
"97","1096","Side Guard (Small)","Pcs","ITEM","2500.00","5000.00"
"98","1097","Side Guard (Large)","Pcs","ITEM","4500.00","9500.00"
"40","1039","Door Eye
(180 Degree)","Pcs","Roller Gate","1000.00","1500.00"
"99","1098","Side Guard (Extra Large)","Pcs","ITEM","8500.00","15000.00"
"102","1101","Plywood Works 12mm ","Pcs","Service","3250.00","4850.00"
"103","1102","Aluminium Works 1.2mm (18G)","Pcs","Service","6000.00","12000.00"
"105","1104","Aluminium Works Corrugated (Japan Ralli)","Pcs","Service","7000.00","14500.00"
"113","1112","LORRY BODY 3 Wheel Japan Model White Box
(With Bed Price/Taiwan Lock Set/4mm Composite White/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","80000.00","120000.00"
"114","1113","LORRY BODY 6.25 feet Budget Box
(With Bed Price/Lanka Lock Set/1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","65000.00","95000.00"
"115","1114","LORRY BODY 6.25 feet Japan Model Aluminium Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/1.1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","80000.00","120000.00"
"116","1115","LORRY BODY 6.25 feet Japan Model White Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","90000.00","130000.00"
"118","1117","LORRY BODY 7.25 feet Budget Box
(With Bed Price/Lanka Lock Set/1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","70000.00","115000.00"
"120","1119","LORRY BODY 7.25 feet Japan Model White Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite White/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","105000.00","145000.00"
"126","1125","LORRY BODY 9.25 feet Budget Box
(With Bed Price/Lanka Lock Set/1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","115000.00","155000.00"
"130","1129","LORRY BODY 10.5 feet Budget Box
(Lanka Lock Set/1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.4mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","195000.00","270000.00"
"135","1134","LORRY BODY 12.5 feet Japan Model White Box
(Non Rivet/Taiwan Lock Set/4mm Composite White/9mm Plywood/2mm Metal Plate/1x1 1.4mmBox Bar/3X1.5 2mm Box Bar)","Pcs","ITEM","240000.00","340000.00"
"138","1137","LORRY BODY 14.5 feet Japan Model White Box
(Non Rivet/Taiwan Lock Set/4mm Composite White/9mm Plywood/2.5mm Metal Plate/1.5X1.5 1.6mmBox Bar/4X2 2.5mm Box Bar)","Pcs","ITEM","325000.00","425000.00"
"48","1047","Extension Lorry Body 12 to 16 Feet
","Pcs","Service","85000.00","85000.00"
"78","1077","Body Light (Taiwan)","Pcs","ITEM","360.00","1000.00"
"106","1105","Aluminium Works 2mm (14G)","Pcs","Service","12000.00","17000.00"
"33","1032","Door Outer 2 Side Frame","Sq Feet","Tempered Glass","7000.00","11000.00"
"107","1106","Aluminium Checker  Plate Works 1.2mm (18G)","Pcs","Service","8000.00","12000.00"
"119","1118","LORRY BODY 7.25 feet Japan Model Aluminium Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/1.1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","95000.00","130000.00"
"123","1122","LORRY BODY 8.25 feet Japan Model Aluminium Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/1.1mm Aluminium/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","100000.00","145000.00"
"124","1123","LORRY BODY 8.25 feet Japan Model White Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite White/5mm Plywood/2mm Metal Plate/1x1 1.1mmBox Bar/2X2 2mm Box Bar)","Pcs","ITEM","110000.00","160000.00"
"125","1124","LORRY BODY 8.25 feet Freezer Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite/1.5mm Aluminium/ 1.5mm Aluminium Checker  Plate /Rigifoam High Density/1.6mm Z Panel/2X2 2mm Box Bar)","Pcs","ITEM","210000.00","310000.00"
"129","1128","LORRY BODY 9.25 feet   Freezer Box
(With Bed Price/ Non Rivet/Taiwan Lock Set/4mm Composite/1.5mm Aluminium/ 1.5mm Aluminium Checker  Plate /Rigifoam High Density/1.6mm Z Panel/2X2 2mm Box Bar)
","Pcs","ITEM","260000.00","360000.00"
"139","1138","LORRY BODY 16.5 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.5mm Aluminium/9mm Plywood/3mm Metal Plate/1.5x1.5 1.6mmBox Bar/4X2 2.5mm Box Bar)","Pcs","ITEM","335000.00","445000.00"
"140","1139","LORRY BODY 18.5 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.5mm Aluminium/9mm Plywood/9mm Metal Plate/1.5x1.5 1.6mmBox Bar/4X2 2.5mm Box Bar)","Pcs","ITEM","375000.00","495000.00"
"141","1140","LORRY BODY 20 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.5mm Aluminium/9mm Plywood/4mm Metal Plate/2x2 1.6mm Box Bar/4X2 3mm Box Bar)","Pcs","ITEM","435000.00","545000.00"
"142","1141","LORRY BODY 22 feet Japan Model Aluminium Box
(Non Rivet/Taiwan Lock Set/1.5mm Aluminium/12mm Plywood/4mm Metal Plate/2x2 1.6mm Box Bar/4X2 3mm Box Bar)","Pcs","ITEM","475000.00","595000.00"
"144","1143","LANKA BED 6 feet Lorry ","Pcs","ITEM","35000.00","60000.00"
"148","1147","LANKA BED Mahindra Bolero 8 feet (1.6mm Zincoted)","Pcs","ITEM","48000.00","78000.00"
